playoffs,side,teamname,team_wr,champ_top,champ_jng,champ_mid,champ_bot,champ_sup,wr_champ_top,wr_champ_jng,wr_champ_mid,wr_champ_bot,wr_champ_sup,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,wr_top,wr_jng,wr_mid,wr_bot,wr_sup,comp_early_power,result
0,Red,Misfits Gaming,0.5,Malphite,Pantheon,Syndra,Aphelios,Thresh,0.5,0.5,0.5,0.5,0.5,0.0,-1820.0,-1635.0,-48.0,3.0,4.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Fnatic,0.5,Renekton,Olaf,Orianna,Kai'Sa,Rell,0.5,0.5,0.5,0.5,0.5,1.0,4718.0,2407.0,47.0,4.0,6.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Team Vitality,0.5,Gnar,Nidalee,LeBlanc,Xayah,Leona,0.5,0.5,0.5,0.5,0.5,0.0,-4718.0,-2407.0,-47.0,0.0,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Astralis,0.5,Gragas,Udyr,Lucian,Aphelios,Lulu,0.5,0.5,0.5,0.5,0.5,1.0,-682.0,-696.0,-48.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Excel Esports,0.5,Renekton,Lillia,Orianna,Xayah,Rakan,0.5,0.5,0.5,0.5,0.5,0.0,682.0,696.0,48.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,SK Gaming,0.5,Volibear,Taliyah,Twisted Fate,Vayne,Rell,0.5,0.5,0.5,0.5,0.5,0.0,1633.0,-420.0,-4.0,3.0,6.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Misfits Gaming,0.5,Camille,Lillia,Yone,Jhin,Galio,0.5,0.5,0.5,0.5,0.5,1.0,-1633.0,420.0,4.0,2.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Team Vitality,0.5,Gnar,Udyr,Twisted Fate,Vayne,Braum,0.5,0.5,0.5,0.5,0.5,0.0,-624.0,-501.0,-61.0,4.0,7.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Rogue,0.5,Renekton,Jarvan IV,Ryze,Kai'Sa,Rell,0.5,0.5,0.5,0.5,0.5,1.0,624.0,501.0,61.0,2.0,3.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,FC Schalke 04 Esports,0.5,Aatrox,Udyr,Twisted Fate,Kai'Sa,Rell,0.5,0.5,0.5,0.5,0.5,1.0,3488.0,388.0,-8.0,5.0,11.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,G2 Esports,0.5,Kled,Graves,Orianna,Senna,Leona,0.5,0.5,0.5,0.5,0.5,0.0,-3488.0,-388.0,8.0,1.0,2.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,KOI,0.5,Wukong,Taliyah,Azir,Xayah,Rell,0.5,0.5,0.5,0.5,0.5,0.0,1106.0,-101.0,7.0,9.0,14.0,8.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Fnatic,0.5,Pantheon,Evelynn,Irelia,Kai'Sa,Leona,0.5,0.5,0.5,0.5,0.5,1.0,-1106.0,101.0,-7.0,8.0,9.0,9.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Misfits Gaming,0.5,Jayce,Pantheon,LeBlanc,Kai'Sa,Alistar,0.5,0.5,0.5,0.5,0.5,0.0,1610.0,1563.0,31.0,4.0,6.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Excel Esports,0.5,Cho'Gath,Olaf,Azir,Xayah,Leona,0.5,0.5,0.5,0.5,0.5,1.0,-1610.0,-1563.0,-31.0,4.0,7.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,SK Gaming,0.5,Pantheon,Nidalee,Twisted Fate,Kalista,Jarvan IV,0.5,0.5,0.5,0.5,0.5,0.0,2580.0,534.0,-19.0,4.0,7.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,KOI,0.5,Ornn,Udyr,Azir,Tristana,Rell,0.5,0.5,0.5,0.5,0.5,1.0,-2580.0,-534.0,19.0,0.0,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,G2 Esports,0.5,Quinn,Taliyah,Ryze,Jhin,Nautilus,0.5,0.5,0.5,0.5,0.5,1.0,3441.0,1659.0,75.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Team Vitality,0.5,Renekton,Jarvan IV,Twisted Fate,Kalista,Thresh,0.5,0.5,0.5,0.5,0.5,0.0,-3441.0,-1659.0,-75.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,FC Schalke 04 Esports,0.5,Camille,Jarvan IV,Orianna,Kai'Sa,Rell,0.5,0.5,0.5,0.5,0.5,0.0,-807.0,-1786.0,-38.0,3.0,4.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Rogue,0.5,Shen,Taliyah,Lucian,Xayah,Rakan,0.5,0.5,0.5,0.5,0.5,1.0,807.0,1786.0,38.0,3.0,5.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Astralis,0.5,Gnar,Pantheon,Orianna,Samira,Rell,0.5,0.5,0.5,0.5,0.5,0.0,1906.0,164.0,-10.0,10.0,14.0,8.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Fnatic,0.5,Renekton,Udyr,Azir,Kai'Sa,Rakan,0.5,0.5,0.5,0.5,0.5,1.0,-1906.0,-164.0,10.0,8.0,14.0,10.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Misfits Gaming,0.5,Gnar,Olaf,Syndra,Xayah,Rakan,0.5,0.5,0.5,0.5,0.5,1.0,-1262.0,-355.0,7.0,2.0,2.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,FC Schalke 04 Esports,0.5,Gangplank,Pantheon,Ekko,Kai'Sa,Rell,0.5,0.5,0.5,0.5778,0.5,0.0,1262.0,355.0,-7.0,4.0,13.0,2.0,0.5,0.5,0.5,0.5,0.5,-195.6007,1
0,Blue,Excel Esports,0.5,Gragas,Pantheon,Azir,Xayah,Rakan,0.5,0.5,0.5,0.5,0.5,1.0,-1162.0,-163.0,8.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,SK Gaming,0.5,Renekton,Nidalee,Syndra,Miss Fortune,Alistar,0.5,0.5,0.5,0.5,0.5,0.0,1162.0,163.0,-8.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,KOI,0.5,Aatrox,Olaf,Azir,Seraphine,Nautilus,0.5,0.5,0.5,0.5,0.5,1.0,-1579.0,592.0,33.0,2.0,5.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,1
