gameid,playoffs,side,teamname,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,result
LOLTMNT05_176087,0,Red,GiantX,0.0,-1981.0,-984.0,16.0,0.0,0.0,4.0,0
LOLTMNT05_175147,0,Blue,Los Ratones,1.0,2994.0,2371.0,31.0,7.0,7.0,7.0,0
LOLTMNT05_175147,0,Red,Team Vitality,0.0,-2994.0,-2371.0,-31.0,7.0,7.0,7.0,1
LOLTMNT05_175164,0,Blue,GiantX,0.0,2142.0,513.0,26.0,5.0,7.0,4.0,0
LOLTMNT05_175164,0,Red,Karmine Corp Blue,1.0,-2142.0,-513.0,-26.0,4.0,5.0,5.0,1
LOLTMNT05_176168,0,Blue,Shifters,0.0,1151.0,642.0,5.0,2.0,5.0,1.0,1
LOLTMNT05_176168,0,Red,SK Gaming,1.0,-1151.0,-642.0,-5.0,1.0,0.0,2.0,0
LOLTMNT05_175193,0,Blue,Movistar KOI,0.0,-27.0,627.0,-5.0,2.0,4.0,1.0,1
LOLTMNT05_175193,0,Red,Natus Vincere,1.0,27.0,-627.0,5.0,1.0,2.0,2.0,0
LOLTMNT05_175206,0,Blue,Team Heretics,0.0,1862.0,1234.0,-51.0,8.0,12.0,1.0,1
LOLTMNT05_175206,0,Red,Karmine Corp,1.0,-1862.0,-1234.0,51.0,1.0,0.0,8.0,0
LOLTMNT05_175214,0,Blue,G2 Esports,1.0,3200.0,3985.0,59.0,5.0,10.0,1.0,1
LOLTMNT05_175214,0,Red,Fnatic,0.0,-3200.0,-3985.0,-59.0,1.0,2.0,5.0,0
LOLTMNT05_176683,1,Blue,Natus Vincere,1.0,2385.0,2526.0,23.0,6.0,12.0,1.0,1
LOLTMNT05_176683,1,Red,Fnatic,0.0,-2385.0,-2526.0,-23.0,1.0,1.0,6.0,0
LOLTMNT05_175676,1,Blue,Fnatic,0.0,-262.0,-2393.0,-35.0,2.0,6.0,2.0,0
LOLTMNT05_175676,1,Red,Natus Vincere,1.0,262.0,2393.0,35.0,2.0,5.0,2.0,1
LOLTMNT05_176711,1,Blue,Movistar KOI,0.0,-609.0,-418.0,-3.0,3.0,7.0,4.0,1
LOLTMNT05_176711,1,Red,Team Vitality,1.0,609.0,418.0,3.0,4.0,9.0,3.0,0
LOLTMNT05_175701,1,Blue,Movistar KOI,1.0,308.0,571.0,14.0,3.0,6.0,2.0,1
LOLTMNT05_175701,1,Red,Team Vitality,0.0,-308.0,-571.0,-14.0,2.0,4.0,3.0,0
LOLTMNT05_175735,1,Blue,Team Heretics,1.0,-4226.0,-484.0,-31.0,0.0,0.0,6.0,0
LOLTMNT05_175735,1,Red,G2 Esports,0.0,4226.0,484.0,31.0,6.0,12.0,0.0,1
LOLTMNT05_176751,1,Blue,G2 Esports,1.0,-934.0,571.0,25.0,7.0,7.0,8.0,1
LOLTMNT05_176751,1,Red,Team Heretics,0.0,934.0,-571.0,-25.0,8.0,12.0,7.0,0
LOLTMNT05_175753,1,Blue,Karmine Corp,1.0,2361.0,1613.0,34.0,3.0,5.0,1.0,1
LOLTMNT05_175753,1,Red,GiantX,0.0,-2361.0,-1613.0,-34.0,1.0,2.0,3.0,0
LOLTMNT05_176774,1,Blue,GiantX,0.0,-875.0,-625.0,-19.0,3.0,5.0,4.0,0
LOLTMNT05_176774,1,Red,Karmine Corp,1.0,875.0,625.0,19.0,4.0,5.0,3.0,1
LOLTMNT05_176983,1,Blue,Movistar KOI,1.0,1149.0,243.0,1.0,2.0,4.0,0.0,1
LOLTMNT05_176983,1,Red,Natus Vincere,0.0,-1149.0,-243.0,-1.0,0.0,0.0,2.0,0
LOLTMNT05_175960,1,Blue,Movistar KOI,0.0,-1672.0,-2387.0,-36.0,1.0,2.0,1.0,1
LOLTMNT05_175960,1,Red,Natus Vincere,1.0,1672.0,2387.0,36.0,1.0,1.0,1.0,0
LOLTMNT05_176994,1,Blue,G2 Esports,1.0,2363.0,666.0,39.0,2.0,3.0,1.0,1
LOLTMNT05_176994,1,Red,Karmine Corp,0.0,-2363.0,-666.0,-39.0,1.0,0.0,2.0,0
LOLTMNT05_175986,1,Blue,G2 Esports,0.0,3793.0,1731.0,40.0,5.0,9.0,1.0,1
LOLTMNT05_175986,1,Red,Karmine Corp,1.0,-3793.0,-1731.0,-40.0,1.0,3.0,5.0,0
